highlight_uid,highlight_name,highlight_type,highlight_author,app_name,APPL #1,APPL #2,APPL #3,APPL #4,app_code_list,manual_highlight_description,highlight_description,manual_image_url,image_url,video_url,main_link,article_links,tech_previous_work_description,tech_previous_work_url,tech_recommendation,tech_impact,notes,related_highlights,tech_external_url,partner_suricata_link,related_highlights,related_highlights,new image,Please write your initials on column F before starting to fill out new entries
PRT037,Aiconix,partner,jgp,Computer generated original content,COMPCONT,,,,COMPCONT,,,,,,http://www.aiconix.de/en,,,,,,,,,,,,,
TECH76,Digital printing for In-store textile customization,technology,radar18,"Computer generated original content
Social Network Commerce",COMPCONT,SOCICOMM,,,"COMPCONT,SOCICOMM","Customize garments in-store using digital printing in textiles or 3D printing in accessories. Digital printers can be used to print customized patterns in clothes or shoes. 3D printers can provide customized buttons, zipper pulls, eyelets, or other ornaments","Customize garments in-store using digital printing in textiles or 3D printing in accessories. Digital printers can be used to print customized patterns in clothes or shoes. 3D printers can provide customized buttons, zipper pulls, eyelets, or other ornaments",,,,,,There are multiple mature solutions in the market that may be integrated in existing services.,,experiment,low,,,,,"TECH76:1,TECH76:2","TECH76:1,TECH76:2",,
TECH24,3d printing for Customized items,technology,radar18,Computer generated original content,COMPCONT,,,,COMPCONT,"Print customized items such as spare parts for appliances or fashion accessories. 3D modeling software is used to model the personalized item and to ""slice"" it into layers. When the sliced file is uploaded in a 3D printer, the object can be created layer by layer. ","Print customized items such as spare parts for appliances or fashion accessories. 3D modeling software is used to model the personalized item and to ""slice"" it into layers. When the sliced file is uploaded in a 3D printer, the object can be created layer by layer. ",,,,,,,,study,medium,,,,,"TECH24:3,TECH24:1","TECH24:1,TECH24:3",,
IMP168,N6A Is Letting Its Employees Choose Their Rewards,implementation,jgp,Every employee has a different story,DIFFSTRY,,,,DIFFSTRY,"In the work environment, flexibility means affording employees the opportunity to make their own choices as to when, where, and how they engage in work related projects and tasks.","In the work environment, flexibility means affording employees the opportunity to make their own choices as to when, where, and how they engage in work related projects and tasks.",https://thumbor.forbes.com/thumbor/960x0/https%3A%2F%2Fblogs-images.forbes.com%2Fkaytiezimmerman%2Ffiles%2F2018%2F04%2FScreen-Shot-2018-04-29-at-8.42.11-PM-1200x845.jpg,https://thumbor.forbes.com/thumbor/960x0/https%3A%2F%2Fblogs-images.forbes.com%2Fkaytiezimmerman%2Ffiles%2F2018%2F04%2FScreen-Shot-2018-04-29-at-8.42.11-PM-1200x845.jpg,,https://www.forbes.com/sites/kaytiezimmerman/2018/05/02/this-company-is-letting-its-employees-choose-their-rewards/#7d78a7946484,,,,,,,,,,,,,https://thumbor.forbes.com/thumbor/960x0/https%3A%2F%2Fblogs-images.forbes.com%2Fkaytiezimmerman%2Ffiles%2F2018%2F04%2FScreen-Shot-2018-04-29-at-8.42.11-PM-1200x845.jpg
IMP169,Why Some Companies Are Letting Employees Choose Their Own Perks and Benefits,implementation,jgp,Every employee has a different story,DIFFSTRY,,,,DIFFSTRY,"N6A, Spotify and Evotext have given their employees some extra flexibility, with an eye to how giving power over perks can benefit company cultures, recruiting, retention, and even diversity and inclusion efforts.","N6A, Spotify and Evotext have given their employees some extra flexibility, with an eye to how giving power over perks can benefit company cultures, recruiting, retention, and even diversity and inclusion efforts.",https://content.linkedin.com/content/dam/business/talent-solutions/global/en_us/blog/2018/08/company_perks_benefits.jpg,https://content.linkedin.com/content/dam/business/talent-solutions/global/en_us/blog/2018/08/company_perks_benefits.jpg,,https://business.linkedin.com/talent-solutions/blog/company-culture/2018/companies-letting-employees-choose-perks,,,,,,,,,,,,,https://content.linkedin.com/content/dam/business/talent-solutions/global/en_us/blog/2018/08/company_perks_benefits.jpg
IMP174,Avec Box and Avec X,implementation,nlg,"Automatic Order and Checkout
Instore Food Preparation
Personalized Consumer Goods",AUTOORDE,FOODPREP,PERCONGDS,,"AUTOORDE,FOODPREP,PERCONGDS",,,,,https://www.youtube.com/watch?v=bcZkGxm9tcQ&feature=youtu.be&t=53,https://www.valora.com/en/newsroom/detail/index.php?id=476,,,,,,,,,,,,,
IMP042,Skype Stay Together,implementation,aec,Neverending story,CUSTSTOR,,,,CUSTSTOR,,,,,,https://www.adweek.com/brand-marketing/story-behind-one-most-beautiful-real-moments-advertising-158478/,,,,,,,,,,,,,
IMP044,Prose,implementation,aec,Neverending story,CUSTSTOR,,,,CUSTSTOR,,,,,,https://prose.com/,,,,,,,,,,,,,
IMP078,"Real Food, Real Stories",implementation,jgp,Neverending story,CUSTSTOR,,,,CUSTSTOR,,,,,,https://www.realfoodrealstories.org/,,,,,,,,,,,,,
IMP160,VR Game Vaccine Injection,implementation,jgp,Neverending story,CUSTSTOR,,,,CUSTSTOR,,,,,,https://sonaesystems.sharepoint.com/:v:/s/SHIFT/EXhgUr0pmmRDjsFP2-saIIoBAUOK4_TEeBVo85Hr1EMSrA?e=SYqiSV,,,,,,,,,,,,,
